Temperature,Humidity,Moisture,Status
33.4,44.49,2200,Wet
33.4,45.5,1100,Wet
33.4,44.49,1118,Wet
33.6,44.5,1232,Wet
33.7,46.2,1231,Wet
33.4,40.7,1250,Wet
33.5,45.6,1264,Wet
33.9,44.7,1273,Wet
33.8,44.6,1263,Wet
33.9,43.9,1296,Wet
33.8,43.6,1297,Wet
33.8,43.6,3070,Dry
33.7,43.8,3455,Dry
33.5,43.3,2762,Wet
33.0,44.1,2467,Wet
32.9,42.9,2363,Wet
32.9,45.3,2550,Wet
32.9,45.6,4000,Dry
32.9,42.9,1700,Wet
32.9,43.89,1744,Wet
32.8,43.9,1770,Wet
32.9,44.1,1787,Wet
32.9,43.9,1835,Wet
32.9,44.0,1645,Wet
32.9,44.1,1880,Wet
32.9,44.1,1450,Wet
32.8,44.5,1680,Wet
33.0,43.9,1342,Wet
38.1,43.8,1350,Wet
33.2,44.4,1408,Wet
33.2,44.2,1420,Wet
33.2,44.3,1229,Wet
33.2,44.1,1560,Wet
33.3,43.49,4095,Dry
32.9,44.2,4063,Dry
32.9,44.1,3529,Dry
33.1,43.8,4012,Dry
33.2,43.6,3740,Dry
33.1,43.5,3560,Dry
33.1,43.8,2210,Wet
33.3,43.86,2249,Wet
33.3,43.9,2254,Wet
33.3,43.8,2299,Wet
33.3,43.9,2286,Wet
33.3,43.7,1229,Wet
33.5,43.1,1463,Wet
33.6,43.0,1484,Wet
33.6,43.9,1493,Wet
33.7,43.9,1250,Wet
33.5,42.9,1240,Wet
33.6,42.56,1950,Wet
33.6,42.9,1951,Wet
33.6,42.9,1071,Wet
33.7,43.1,1017,Wet
33.7,43.1,1043,Wet
33.8,43.1,1540,Wet
33.9,43.1,1950,Wet
33.9,43.7,1610,Wet
33.76,42.8,1701,Wet
31.8,45.2,990,Wet
31.9,45.56,1195,Wet
31.7,45.5,1206,Wet
31.7,45.8,1245,Wet
31.7,45.7,1255,Wet
31.7,46.4,4870,Dry
31.7,46.9,4077,Dry
31.4,46.6,4040,Dry
31.2,46.9,4060,Dry
32.0,46.2,4090,Dry
32.0,46.1,2166,Wet
32.86,46.2,894,Wet
32.0,46.3,911,Wet
32.1,46.1,3194,Dry
32.1,44.66,803,Wet
32.1,45.9,954,Wet
32.0,42.86,952,Wet
32.16,45.56,1010,Wet
32.0,44.1,1554,Wet
32.0,44.3,1632,Wet
32.0,44.3,1291,Wet
31.9,44.5,1683,Wet
31.8,41.6,3130,Dry
31.6,41.9,1780,Wet
31.3,45.5,4011,Dry
31.6,45.4,3747,Dry
31.6,45.3,3738,Dry
31.7,45.7,4095,Dry
31.7,45.7,4035,Dry
31.7,45.7,4045,Dry
31.4,44.7,2021,Wet
31.7,46.3,4076,Dry
31.7,44.9,2090,Wet
31.7,46.5,3452,Dry
31.7,46.2,761,Wet
31.7,46.8,881,Wet
31.3,46.5,989,Wet
31.8,46.7,1040,Wet
31.8,44.5,1276,Wet
31.7,45.8,779,Wet
31.6,46.1,860,Wet
31.7,46.1,778,Wet
31.6,46.9,850,Wet
31.3,46.8,997,Wet
31.5,45.3,1150,Wet
31.5,45.6,1070,Wet
31.5,46.0,1101,Wet
31.5,46.4,1116,Wet
31.6,46.6,1137,Wet
31.6,47.26,1125,Wet
31.7,44.1,1143,Wet
31.6,43.6,1507,Wet
31.6,43.1,1510,Wet
31.7,43.5,1870,Wet
32.3,33.2,774,Wet
33.7,45.7,2934,Dry
37.3,39.5,628,Wet
36.7,30.9,4039,Dry
33.3,70.6,3820,Dry
32.7,54.4,1955,Wet
34.2,69.3,1280,Wet
37.5,69.4,1485,Wet
26.3,56.7,1846,Wet
32.1,35.5,3497,Dry
29.6,58.1,3861,Dry
34.5,66.9,2192,Wet
29.7,69.6,1173,Wet
28.9,56.2,3175,Dry
28.8,66.3,1978,Wet
32.1,36.7,1445,Wet
34.2,38.6,1661,Wet
31.0,49.4,2471,Wet
28.0,45.2,3018,Dry
27.4,61.4,2171,Wet
31.5,38.4,1277,Wet
32.7,56.1,2665,Dry
27.9,59.0,1310,Wet
27.6,45.8,2864,Dry
31.5,70.7,2783,Dry
35.9,58.1,813,Wet
27.6,30.3,3804,Dry
33.0,65.8,3650,Dry
38.0,61.3,2577,Dry
26.3,44.1,1589,Wet
28.9,55.4,947,Wet
36.5,38.4,3328,Dry
37.2,54.5,2019,Wet
29.9,35.6,1876,Wet
27.7,35.8,2633,Dry
34.2,39.3,3605,Dry
29.6,54.5,2546,Dry
32.7,47.6,3803,Dry
33.2,54.5,3280,Dry
27.2,43.1,2099,Wet
35.3,65.5,2265,Wet
33.3,65.5,1714,Wet
29.8,34.6,1495,Wet
37.0,36.5,1064,Wet
36.7,64.4,2334,Wet
27.2,41.4,3684,Dry
35.0,58.3,3999,Dry
32.0,42.0,3239,Dry
28.9,58.4,1611,Wet
37.0,48.1,3318,Dry
28.8,42.4,3097,Dry
31.1,54.6,1643,Wet
26.8,38.6,2960,Dry
35.5,57.8,4035,Dry
34.6,69.2,2127,Wet
33.9,31.5,3190,Dry
32.6,69.4,2667,Dry
27.2,60.2,965,Wet
37.9,71.0,3264,Dry
31.2,35.7,2646,Dry
30.8,65.4,2073,Wet
33.6,53.0,1439,Wet
31.6,36.8,630,Wet
28.9,47.4,3757,Dry
31.8,61.9,3268,Dry
34.2,59.6,2444,Wet
34.1,32.3,2632,Dry
36.3,32.3,2121,Wet
35.2,51.6,2451,Wet
26.8,41.3,1704,Wet
37.2,63.5,3592,Dry
29.4,52.6,1327,Wet
31.2,45.6,3885,Dry
30.1,32.8,2844,Dry
34.7,64.8,3317,Dry
34.1,60.1,1146,Wet
35.4,35.8,956,Wet
33.7,30.5,2069,Wet
31.1,67.0,2270,Wet
30.2,37.5,2488,Wet
32.2,62.3,1983,Wet
26.6,64.9,1227,Wet
38.1,49.5,3837,Dry
30.0,60.0,871,Wet
29.1,63.9,2253,Wet
26.7,62.9,3981,Dry
33.3,32.4,608,Wet
31.7,35.7,2770,Dry
32.0,64.0,1665,Wet
29.5,63.1,3964,Dry
29.1,60.2,2550,Dry
26.7,38.0,4059,Dry
36.8,32.8,3979,Dry
38.2,46.2,2681,Dry
30.9,43.8,4065,Dry
34.7,32.8,2526,Dry
36.4,42.7,1735,Wet
37.4,33.6,2018,Wet
27.2,44.7,1250,Wet
27.0,69.6,1881,Wet
32.9,30.1,965,Wet
34.8,55.2,1743,Wet
38.4,50.4,1117,Wet
31.2,51.9,3669,Dry
26.8,32.7,3704,Dry
32.6,33.8,844,Wet
32.8,69.1,2673,Dry
36.8,63.4,4020,Dry
36.9,49.1,634,Wet
35.3,53.4,832,Wet
29.4,57.0,1844,Wet
29.2,51.5,2699,Dry
34.5,49.6,680,Wet
27.0,65.8,1896,Wet
38.0,36.9,4048,Dry
26.4,30.5,2191,Wet
